Pattern,Color,Price
Holmes,Cinder,12.0000
Holmes,Eggplant,12.0000
Holmes,Orchid,12.0000
Holmes,Patience,12.0000
Hampton,Sand Dollar,12.0000
Hampton,Black Sand,12.0000
Hampton,Driftwood,12.0000
Moore,Beach,12.0000
Moore,Granite,12.0000
Twist,Portabello,0.0000
Twist,Storm,0.0000
Venice,Pumice,12.0000
Venice,Beach,12.0000
Venice,Slate,12.0000
Pronto,Fossil,10.0000
Pronto,Blue Jay,0.0000
Fullerton,Pepper,12.0000
Dolman,Dune,0.0000
Dolman,Ashwood,0.0000
Pacifica,Thunder,12.0000
Rolland,Steel,12.0000
Max,Grey,4.0300
Cadence,Ringtone,12.0000
Aspan,Black,12.0000
Alicia,Midnight,12.0000
Muse,Chiffon,0.0000
Muse,Shadow,0.0000
Muse,Heathered,0.0000
Muse,Tweed,0.0000
Jazzy,Eletric,12.0000
Keira,Portman,18.0000
Keira,Truffle,18.0000
Keira,Courtyard,18.0000
Dessert,Beige,0.0000
Oxford,Pecan,12.0000
Oxford,Almond,12.0000
Oxford,Mist,12.0000
Dahlia,Black,12.0000
Odyssey,Moonrise,0.0000
Harlow,Birch,1.2200
Tetra,Flint,18.0000
Rockefeller,Cinderblock,20.0000
Caravan,Brownstone,12.0000
Open Basket,Cornell Brown,12.0000
Era,Red,12.0000
Era,Beige,12.0000
Davis,Ashton,12.0000
Charleston,Rhythm,12.0000
